date,region,product,revenue,units_sold
2024-01-01,US,ProductA,12000,120
2024-01-01,EU,ProductA,9000,95
2024-01-01,APAC,ProductA,4000,50
2024-02-01,US,ProductA,13500,130
2024-02-01,EU,ProductA,9800,102
2024-02-01,APAC,ProductA,4200,55
2024-03-01,US,ProductA,15000,145
2024-03-01,EU,ProductA,11000,115
2024-03-01,APAC,ProductA,4600,60
2024-01-01,US,ProductB,8000,160
2024-01-01,EU,ProductB,7200,150
2024-01-01,APAC,ProductB,3000,90
2024-02-01,US,ProductB,8700,175
2024-02-01,EU,ProductB,7600,158
2024-02-01,APAC,ProductB,3300,95
2024-03-01,US,ProductB,9200,185
2024-03-01,EU,ProductB,8100,165
2024-03-01,APAC,ProductB,3600,100
